player_id,player_name,deal_date,deal_year,team,years,signed_via,deal_type,fa_status,aav_m,salary_cap_m,aav_cap_share,log_aav_cap_share,has_prior_stats,prior_games,prior_ppg,prior_mpg,prior_per,prior_bpm,prior_vorp,prior_ws,prior_ws48,prior_usg_pct,prior_ts_pct,prior_ast,prior_trb,prior_blk,prior_stl,prior_tov,career_seasons,career_games,career_ppg,career_mpg,career_vorp,career_ws,recent3_vorp,recent3_ws,pos,age_at_signing,height_inches,weight_lb,years_pro,draft_year,incumbent,player_option,team_option,max_tier_pct,supermax,outstanding_options,team_srs,team_nrtg,team_mov,team_wins,team_made_playoffs,team_champion,team_cap_space_m,team_active_payroll_m,team_dead_cap_m,team_players_active,prior_team,prior_srs,prior_nrtg,prior_mov,prior_wins,prior_made_playoffs,prior_champion,prior_cap_space_m,prior_active_payroll_m,prior_dead_cap_m,prior_players_active,prior_team_big_market,prior_team_market_size,prior_team_metro_pop_m,team_big_market,team_market_size,team_metro_pop_m,team_dma_rank,team_tv_homes_m,cba_regime
abrinal01,Álex Abrines,"Jul 23, 2016",2016,OKC,3,free_agency,standard,RFA,5.733,94.143,0.0609,-2.798518,0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,0.0,0.0,,23,78,200,0,2013,1,0,,0.25,0,0,7.09,7.5,7.28,55.0,1.0,0.0,-24.713,93.765,,15,OKC,7.09,7.5,7.28,55.0,1.0,0.0,-24.713,93.765,,15,0,Small,1.435,0,Small,1.435,47,0.7627,pre_2017
achiupr01,Precious Achiuwa,"Jul 07, 2026",2026,SAC,2,free_agency,standard,UFA,5.615,170.1117,0.033008,-3.411014,1,73,10.082,23.904,16.2,-1.6,0.2,2.9,0.08,17.6,0.5583,1.384,6.74,0.685,0.89,0.89,6,393.0,8.03,20.71,-0.3,14.6,0.4,8.6,C,27,80,243,6,2020,1,0,,0.25,0,0,-9.58,-10.1,-10.0,22.0,0.0,0.0,-59.206,187.272,0.396,15,SAC,-9.58,-10.1,-10.0,22.0,0.0,0.0,-59.206,187.272,0.396,15,0,Small,2.453,0,Small,2.453,20,1.49792,cba_2023
acyqu01,Quincy Acy,"Jul 22, 2015",2015,SAC,2,free_agency,standard,UFA,1.015,70.0,0.0145,-4.233607,1,68,5.853,18.926,11.9,-3.1,-0.3,1.7,0.063,15.5,0.5325,1.0,4.426,0.324,0.397,0.882,3,160.0,4.28,15.47,0.0,4.3,0.0,4.3,PF,25,79,240,3,2012,1,0,,0.25,0,0,-3.07,-3.9,-3.71,29.0,0.0,0.0,-12.26,73.062,1.115,15,SAC,-3.07,-3.9,-3.71,29.0,0.0,0.0,-12.26,73.062,1.115,15,0,Small,2.453,0,Small,2.453,20,1.49792,pre_2017
acyqu01,Quincy Acy,"Jul 20, 2016",2016,DAL,2,free_agency,standard,UFA,1.115,94.143,0.011844,-4.43596,1,59,5.203,14.847,14.7,-0.1,0.4,2.5,0.137,13.1,0.6293,0.458,3.186,0.407,0.492,0.458,4,219.0,4.53,15.31,0.4,6.8,0.2,5.7,PF,26,79,240,4,2012,0,0,,0.25,0,0,-0.02,-0.3,-0.3,42.0,1.0,0.0,-4.044,71.199,1.898,15,SAC,-2.32,-2.4,-2.48,33.0,0.0,0.0,-2.671,71.734,0.938,15,0,Small,2.453,1,Large,7.943,4,3.26449,pre_2017
acyqu01,Quincy Acy,"Jan 30, 2017",2017,BKN,2,free_agency,standard,UFA,1.75,99.093,0.01766,-4.036443,1,38,5.842,14.684,11.8,-2.1,0.0,0.9,0.077,16.8,0.5652,0.474,3.026,0.395,0.368,0.553,5,257.0,4.72,15.21,0.4,7.7,0.1,5.1,PF,27,79,240,5,2012,0,0,,0.25,0,0,-6.74,-6.6,-6.73,20.0,0.0,0.0,10.413,65.406,18.324,15,DAL,-2.53,-3.2,-2.93,33.0,0.0,0.0,-9.941,92.128,11.956,15,1,Large,7.943,1,Large,19.113,1,7.49451,cba_2017
adamsst01,Steven Adams,"Oct 31, 2016",2016,OKC,4,extension,extension,,25.0,99.093,0.252288,-1.377183,1,80,7.95,25.175,15.5,0.2,1.1,6.5,0.155,12.6,0.6208,0.775,6.662,1.113,0.525,1.05,3,231.0,6.23,21.57,1.3,13.5,1.3,13.5,C,23,83,265,3,2013,1,0,,0.25,0,0,7.09,7.5,7.28,55.0,1.0,0.0,-24.713,93.765,,15,OKC,7.09,7.5,7.28,55.0,1.0,0.0,-24.713,93.765,,15,0,Small,1.435,0,Small,1.435,47,0.7627,pre_2017
adamsst01,Steven Adams,"Nov 24, 2020",2020,OKC,2,sign_and_trade,extension,UFA,17.5,109.14,0.160345,-1.830431,1,63,10.857,26.667,20.5,2.9,2.1,6.5,0.186,17.3,0.6038,2.317,9.254,1.063,0.81,1.492,7,530.0,9.79,26.81,8.6,45.3,6.2,25.3,C,27,83,265,7,2013,1,0,,0.3,0,0,2.33,2.0,1.99,44.0,1.0,0.0,-30.58,131.676,1.736,15,OKC,2.33,2.0,1.99,44.0,1.0,0.0,-30.58,131.676,1.736,15,0,Small,1.435,0,Small,1.435,47,0.7627,cba_2017
adamsst01,Steven Adams,"Oct 01, 2022",2022,MEM,2,extension,extension,,12.6,136.021,0.092633,-2.379112,1,76,6.947,26.303,17.6,2.0,2.0,6.8,0.163,12.0,0.5598,3.368,10.0,0.789,0.855,1.513,9,664.0,9.27,26.82,11.3,56.1,4.8,17.3,C,29,83,265,9,2013,1,0,,0.35,0,0,5.37,5.6,5.68,56.0,1.0,0.0,-3.58,98.319,17.675,15,MEM,5.37,5.6,5.68,56.0,1.0,0.0,-3.58,98.319,17.675,15,0,Small,1.358,0,Small,1.358,51,0.6663,cba_2017
adamsst01,Steven Adams,"Jun 14, 2025",2025,HOU,3,extension,extension,,13.0,170.1117,0.07642,-2.571506,1,58,3.879,13.69,16.6,0.3,0.5,2.3,0.139,13.6,0.5411,1.138,5.638,0.483,0.379,0.931,11,764.0,8.83,25.84,12.5,61.8,1.2,5.7,C,32,83,265,12,2013,1,0,,0.35,0,0,4.97,4.5,4.51,52.0,1.0,0.0,-32.908,161.553,7.768,15,HOU,4.97,4.5,4.51,52.0,1.0,0.0,-32.908,161.553,7.768,15,1,Large,7.206,1,Large,7.206,6,2.79742,cba_2023
adebaba01,Bam Adebayo,"Nov 28, 2020",2020,MIA,5,extension,extension,,32.6,112.414,0.289999,-1.237876,1,72,15.917,33.569,20.3,3.4,3.3,8.5,0.169,21.2,0.5981,5.111,10.208,1.292,1.139,2.833,3,223.0,10.55,25.55,5.7,19.5,5.7,19.5,PF,23,81,255,3,2017,1,0,,0.35,1,0,2.59,3.0,2.95,44.0,1.0,0.0,-29.619,128.233,5.665,15,MIA,2.59,3.0,2.95,44.0,1.0,0.0,-29.619,128.233,5.665,15,0,Medium,6.266,0,Medium,6.266,18,1.75692,cba_2017
