player_id,player_name,split,log_aav_cap_share,deal_year,years,has_prior_stats,prior_games,prior_ppg,prior_mpg,prior_per,prior_bpm,prior_vorp,prior_ws,prior_ws48,prior_usg_pct,prior_ts_pct,prior_ast,prior_trb,prior_blk,prior_stl,prior_tov,career_seasons,career_games,career_ppg,career_mpg,career_vorp,career_ws,recent3_vorp,recent3_ws,age_at_signing,height_inches,weight_lb,years_pro,incumbent,player_option,max_tier_pct,supermax,outstanding_options,team_srs,team_nrtg,team_mov,team_wins,team_made_playoffs,team_champion,team_cap_space_m,team_active_payroll_m,team_dead_cap_m,team_players_active,prior_srs,prior_nrtg,prior_mov,prior_wins,prior_made_playoffs,prior_champion,prior_cap_space_m,prior_active_payroll_m,prior_dead_cap_m,prior_players_active,prior_team_big_market,prior_team_metro_pop_m,team_big_market,team_metro_pop_m,team_dma_rank,mid_season,signed_via_extension,signed_via_free_agency,signed_via_offer_sheet,signed_via_sign_and_trade,fa_status_RFA,fa_status_UFA,fa_status_na,cba_regime_cba_2017,cba_regime_cba_2023,cba_regime_pre_2017,pos_C,pos_PF,pos_PG,pos_SF,pos_SG,pos_na,team_market_size_ord,prior_team_market_size_ord,undrafted
abrinal01,Álex Abrines,train,-2.798518,2016,3,0,66.0,9.478,24.912,14.9,-0.1,0.7,3.2,0.104,19.0,0.559,1.722,3.879,0.354,0.721,1.148,0,0.0,9.05,23.27,0.0,0.0,0.0,0.0,23,78,200,0,1.0,0,0.25,0,0,7.09,7.5,7.28,55.0,1.0,0.0,-24.713,93.765,0.0,15.0,7.09,7.5,7.28,55.0,1.0,0.0,-24.713,93.765,0.0,15.0,0.0,1.435,0,1.435,47.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0
achiupr01,Precious Achiuwa,test,-3.411014,2026,2,1,73.0,10.082,23.904,16.2,-1.6,0.2,2.9,0.08,17.6,0.5583,1.384,6.74,0.685,0.89,0.89,6,393.0,8.03,20.71,-0.3,14.6,0.4,8.6,27,80,243,6,1.0,0,0.25,0,0,-9.58,-10.1,-10.0,22.0,0.0,0.0,-59.206,187.272,0.396,15.0,-9.58,-10.1,-10.0,22.0,0.0,0.0,-59.206,187.272,0.396,15.0,0.0,2.453,0,2.453,20.0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0.0,0
acyqu01,Quincy Acy,train,-4.233607,2015,2,1,68.0,5.853,18.926,11.9,-3.1,-0.3,1.7,0.063,15.5,0.5325,1.0,4.426,0.324,0.397,0.882,3,160.0,4.28,15.47,0.0,4.3,0.0,4.3,25,79,240,3,1.0,0,0.25,0,0,-3.07,-3.9,-3.71,29.0,0.0,0.0,-12.26,73.062,1.115,15.0,-3.07,-3.9,-3.71,29.0,0.0,0.0,-12.26,73.062,1.115,15.0,0.0,2.453,0,2.453,20.0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0.0,0
acyqu01,Quincy Acy,train,-4.43596,2016,2,1,59.0,5.203,14.847,14.7,-0.1,0.4,2.5,0.137,13.1,0.6293,0.458,3.186,0.407,0.492,0.458,4,219.0,4.53,15.31,0.4,6.8,0.2,5.7,26,79,240,4,0.0,0,0.25,0,0,-0.02,-0.3,-0.3,42.0,1.0,0.0,-4.044,71.199,1.898,15.0,-2.32,-2.4,-2.48,33.0,0.0,0.0,-2.671,71.734,0.938,15.0,0.0,2.453,1,7.943,4.0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2,0.0,0
acyqu01,Quincy Acy,train,-4.036443,2017,2,1,38.0,5.842,14.684,11.8,-2.1,0.0,0.9,0.077,16.8,0.5652,0.474,3.026,0.395,0.368,0.553,5,257.0,4.72,15.21,0.4,7.7,0.1,5.1,27,79,240,5,0.0,0,0.25,0,0,-6.74,-6.6,-6.73,20.0,0.0,0.0,10.413,65.406,18.324,15.0,-2.53,-3.2,-2.93,33.0,0.0,0.0,-9.941,92.128,11.956,15.0,1.0,7.943,1,19.113,1.0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2,2.0,0
adamsst01,Steven Adams,train,-1.377183,2016,4,1,80.0,7.95,25.175,15.5,0.2,1.1,6.5,0.155,12.6,0.6208,0.775,6.662,1.113,0.525,1.05,3,231.0,6.23,21.57,1.3,13.5,1.3,13.5,23,83,265,3,1.0,0,0.25,0,0,7.09,7.5,7.28,55.0,1.0,0.0,-24.713,93.765,0.0,15.0,7.09,7.5,7.28,55.0,1.0,0.0,-24.713,93.765,0.0,15.0,0.0,1.435,0,1.435,47.0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0.0,0
adamsst01,Steven Adams,train,-1.830431,2020,2,1,63.0,10.857,26.667,20.5,2.9,2.1,6.5,0.186,17.3,0.6038,2.317,9.254,1.063,0.81,1.492,7,530.0,9.79,26.81,8.6,45.3,6.2,25.3,27,83,265,7,1.0,0,0.3,0,0,2.33,2.0,1.99,44.0,1.0,0.0,-30.58,131.676,1.736,15.0,2.33,2.0,1.99,44.0,1.0,0.0,-30.58,131.676,1.736,15.0,0.0,1.435,0,1.435,47.0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0.0,0
adamsst01,Steven Adams,val,-2.379112,2022,2,1,76.0,6.947,26.303,17.6,2.0,2.0,6.8,0.163,12.0,0.5598,3.368,10.0,0.789,0.855,1.513,9,664.0,9.27,26.82,11.3,56.1,4.8,17.3,29,83,265,9,1.0,0,0.35,0,0,5.37,5.6,5.68,56.0,1.0,0.0,-3.58,98.319,17.675,15.0,5.37,5.6,5.68,56.0,1.0,0.0,-3.58,98.319,17.675,15.0,0.0,1.358,0,1.358,51.0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0
adamsst01,Steven Adams,test,-2.571506,2025,3,1,58.0,3.879,13.69,16.6,0.3,0.5,2.3,0.139,13.6,0.5411,1.138,5.638,0.483,0.379,0.931,11,764.0,8.83,25.84,12.5,61.8,1.2,5.7,32,83,265,12,1.0,0,0.35,0,0,4.97,4.5,4.51,52.0,1.0,0.0,-32.908,161.553,7.768,15.0,4.97,4.5,4.51,52.0,1.0,0.0,-32.908,161.553,7.768,15.0,1.0,7.206,1,7.206,6.0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,2.0,0
adebaba01,Bam Adebayo,train,-1.237876,2020,5,1,72.0,15.917,33.569,20.3,3.4,3.3,8.5,0.169,21.2,0.5981,5.111,10.208,1.292,1.139,2.833,3,223.0,10.55,25.55,5.7,19.5,5.7,19.5,23,81,255,3,1.0,0,0.35,1,0,2.59,3.0,2.95,44.0,1.0,0.0,-29.619,128.233,5.665,15.0,2.59,3.0,2.95,44.0,1.0,0.0,-29.619,128.233,5.665,15.0,0.0,6.266,0,6.266,18.0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1.0,0
