season,confirmed,pct_change,cap_floor,salary_cap,luxury_tax,first_apron,second_apron,bae,room_mle,non_tax_mle,tax_mle
2014-15,"Jul 9, 2014",7.47,56759000,63065000,76830000,,,2016000,2732000,5305000,3278000
2015-16,"Jul 8, 2015",11.0,63000000,70000000,84740000,,,2139000,2814000,5464000,3376000
2016-17,"Jul 2, 2016",34.49,84729000,94143000,113287000,,,2203000,2898000,5628000,3477000
2017-18,"Jun 30, 2017",5.26,89184000,99093000,119266000,125266000,,3290000,4328000,8406000,5192000
2018-19,"Jun 30, 2018",2.8,91682000,101869000,123733000,129817000,,3382000,4449000,8641000,5337000
2019-20,"Jun 29, 2019",7.14,98226000,109140000,132627000,138928000,,3623000,4767000,9258000,5718000
2020-21,"Nov 15, 2020",0.0,98226000,109140000,132627000,138928000,,3623000,4767000,9258000,5718000
2021-22,"Aug 2, 2021",3.0,101172600,112414000,136606000,143002000,,3732000,4910000,9536000,5890000
2022-23,"Jul 1, 2022",10.0,111289500,123655000,150267000,157302000,,4105000,5401000,10490000,6479000
2023-24,"Jun 30, 2023",10.0,122418000,136021000,165294000,172346000,182794000,4516000,7723000,12405000,5000000
2024-25,"Jun 30, 2024",3.36,126529200,140588000,170814000,178132000,188931000,4668000,7983000,12822000,5168000
2025-26,"Jun 30, 2025",10.0,139182100,154647000,187895000,195945000,207824000,5135000,8781000,14104000,5685000
