season,team,rank,record,players_active,avg_age,total_cap_allocations,cap_space,active_payroll,active_top3,dead_cap
2014-15,MIL,1,15-67,16,24.6,55114481,7950519,44560189,21100000,10554292
2014-15,ATL,2,38-44,15,27.3,58328957,4736043,57245276,29500000,1083681
2014-15,ORL,3,23-59,15,24.9,58830518,4234482,41311716,18057288,14705259
2014-15,UTA,4,25-57,15,23.5,58905618,4159382,47940340,32696000,10965278
2014-15,PHX,5,48-34,16,26.1,60237268,2827732,55464385,27275000,4772883
2014-15,BOS,6,25-57,15,24.7,60403234,2661766,52905065,24535472,7498169
2014-15,PHI,7,19-63,16,23.9,60466222,2598778,34387296,15411341,22445040
2014-15,DET,8,29-53,15,26.9,63871995,-806995,49558917,21707865,14313078
2014-15,CHA,9,43-39,16,25.4,65680052,-2615052,64710971,29500000,969081
2014-15,DEN,10,36-46,15,25.1,65829749,-2764749,53359369,29208269,2782985
2014-15,CHI,11,48-34,15,28.6,67432537,-4367537,67099204,39562876,333333
2014-15,MIN,12,40-42,16,25.5,68835033,-5770033,64182806,30892500,3736984
2014-15,LAL,13,27-55,16,26.1,70374042,-7309042,59483328,40874646,10890714
2014-15,NOP,14,34-48,14,25.5,71528838,-8463838,68280315,36068849,2133280
2014-15,SAS,15,62-20,15,28.9,72188326,-9123326,69028330,32111446,1350903
2014-15,POR,16,54-28,16,27.0,73909998,-10844998,72964755,36661057,30000
2014-15,HOU,17,54-28,16,27.4,74050249,-10985249,71004520,44744204,3045729
2014-15,WAS,18,44-38,16,28.5,74417924,-11352924,72952787,38180782,549894
2014-15,DAL,19,49-33,16,29.6,75014621,-11949621,72183738,42455977,2830883
2014-15,SAC,20,28-54,15,26.7,75324906,-12259906,73061908,40563326,1114835
2014-15,MEM,21,50-32,15,27.5,75675569,-12610569,73989079,41529688,771247
2014-15,MIA,22,54-28,16,28.2,75966404,-12901404,75084575,45358861,881829
2014-15,IND,23,56-26,15,27.8,75998942,-12933942,74798942,42824618,
2014-15,TOR,24,48-34,15,25.9,77011766,-13946766,75424914,29100000,671609
2014-15,OKC,25,59-23,15,25.3,79706876,-16641876,77876390,47064686,915243
2014-15,GSW,26,51-31,15,26.7,80391141,-17326141,71881167,40274517,703926
2014-15,CLE,27,33-49,15,28.0,81377634,-18312634,80811761,46068008,565873
2014-15,LAC,28,57-25,15,28.6,82909773,-19844773,77554797,49183299,3074976
2014-15,NYK,29,37-45,15,26.0,84197750,-21132750,54410045,41055592,26219583
2014-15,BKN,30,44-38,15,26.9,92047946,-28982946,88024730,58654318,404445
2015-16,NYK,1,17-65,12,27.4,59812260,10187740,59283244,38277812,529016
2015-16,ORL,2,25-57,15,24.6,64462856,5537144,61108745,27494497,3354111
2015-16,UTA,3,38-44,15,24.1,64817873,5182127,63160091,36873054,1657782
2015-16,PHI,4,18-64,15,24.1,65500677,4499323,31052215,15709640,31372562
2015-16,POR,5,51-31,15,24.6,66562366,3437634,48301816,21023697,14185050
2015-16,MIL,6,41-41,15,24.3,70579512,-579512,68656240,39107500,1923272
