player_id,player_name,spotrac_id,deal_date,deal_year,team,total_value_m,deal_type,verified,fa_status,max_tier_pct,max_tier_aav_pct,aav_over_tier,signed_max,supermax,signed_via,prior_team,incumbent,player_option,team_option,outstanding_options,contract_start_year,salary_cap_m,aav_m,aav_cap_share,log_aav_cap_share,end_year,completed,years_remaining,market,year1_salary,signing_season_salary_m,team_dma_rank,team_tv_homes_m,team_metro_pop_m,team_market_size,team_big_market,prior_team_dma_rank,prior_team_tv_homes_m,prior_team_metro_pop_m,prior_team_market_size,prior_team_big_market
abrinal01,Álex Abrines,13345,"Jul 23, 2016",2016,OKC,17.2,standard,1,RFA,0.25,0.27,0,0,0,free_agency,OKC,1,0,,0,2016,94.143,5.733,0.0609,-2.798518,2018,1,0,1,,5.994764,47,0.7627,1.435,Small,0,47,0.7627,1.435,Small,0
achiupr01,Precious Achiuwa,70662,"Nov 25, 2020",2020,MIA,12.51,rookie-scale,1,,0.25,0.28,0,0,0,rookie_scale,MIA,1,0,,2,2020,109.14,3.127,0.028656,-3.552397,2023,1,0,0,,2.58216,18,1.75692,6.266,Medium,0,18,1.75692,6.266,Medium,0
achiupr01,Precious Achiuwa,70662,"Jul 30, 2024",2024,NYK,6.0,standard,1,UFA,0.25,0.25,0,0,0,free_agency,NYK,1,0,,0,2024,140.588,6.0,0.042678,-3.154074,2024,1,0,0,,6.0,1,7.49451,19.113,Large,1,1,7.49451,19.113,Large,1
achiupr01,Precious Achiuwa,70662,"Nov 04, 2025",2025,SAC,2.45,standard,1,UFA,0.25,0.25,0,0,0,rest_of_season,NYK,0,0,,0,2025,154.647,2.45,0.015843,-4.145057,2025,1,0,0,,2.111516,20,1.49792,2.453,Small,0,1,7.49451,19.113,Large,1
achiupr01,Precious Achiuwa,70662,"Jul 07, 2026",2026,SAC,11.23,standard,1,UFA,0.25,0.26,0,0,0,free_agency,SAC,1,0,,0,2026,170.1117,5.615,0.033008,-3.411014,2027,0,2,1,,,20,1.49792,2.453,Small,0,20,1.49792,2.453,Small,0
acyqu01,Quincy Acy,10862,"Jul 16, 2012",2012,TOR,2.37,standard,1,,0.25,0.27,0,0,0,free_agency,TOR,1,0,,0,2012,,0.79,,,2014,1,0,1,,,,,6.202,Large,1,,,6.202,Large,1
acyqu01,Quincy Acy,10862,"Jul 22, 2015",2015,SAC,2.03,standard,1,UFA,0.25,0.26,0,0,0,free_agency,SAC,1,0,,0,2015,70.0,1.015,0.0145,-4.233607,2016,1,0,1,,0.981348,20,1.49792,2.453,Small,0,20,1.49792,2.453,Small,0
acyqu01,Quincy Acy,10862,"Jul 20, 2016",2016,DAL,2.23,standard,1,UFA,0.25,0.26,0,0,0,free_agency,SAC,0,0,,0,2016,94.143,1.115,0.011844,-4.43596,2017,1,0,1,,1.050961,4,3.26449,7.943,Large,1,20,1.49792,2.453,Small,0
acyqu01,Quincy Acy,10862,"Jan 30, 2017",2017,BKN,3.5,standard,1,UFA,0.25,0.26,0,0,0,free_agency,DAL,0,0,,0,2017,99.093,1.75,0.01766,-4.036443,2018,1,0,1,,1.709538,1,7.49451,19.113,Large,1,4,3.26449,7.943,Large,1
adamsst01,Steven Adams,13325,"Jul 12, 2013",2013,OKC,4.28,standard,1,,0.25,0.26,0,0,0,free_agency,OKC,1,0,,2,2013,,2.14,,,2014,1,0,1,,,47,0.7627,1.435,Small,0,47,0.7627,1.435,Small,0
