player_id,player_name,spotrac_id,matched_name,position,confidence
abrinal01,Álex Abrines,13345,Alex Abrines,Shooting Guard,high
achiupr01,Precious Achiuwa,70662,Precious Achiuwa,Power Forward,high
acyqu01,Quincy Acy,10862,Quincy Acy,Power Forward,high
adamsst01,Steven Adams,13325,Steven Adams,Center,high
adebaba01,Bam Adebayo,23609,Bam Adebayo,Center,high
afflaar01,Arron Afflalo,2297,Arron Afflalo,Shooting Guard,high
agbajoc01,Ochai Agbaji,78124,Ochai Agbaji,Small Forward,high
ajincal01,Alexis Ajinça,6087,Alexis Ajinca,Center,high
aldamsa01,Santi Aldama,74137,Santi Aldama,Center,high
aldrico01,Cole Aldrich,6893,Cole Aldrich,Center,high
aldrila01,LaMarcus Aldridge,2672,LaMarcus Aldridge,Power Forward,high
alexani01,Nickeil Alexander-Walker,31574,Nickeil Alexander-Walker,Shooting Guard,high
allengr01,Grayson Allen,26987,Grayson Allen,Shooting Guard,high
allenja01,Jarrett Allen,23617,Jarrett Allen,Center,high
allenka01,Kadeem Allen,23654,Kadeem Allen,Shooting Guard,high
allenla01,Lavoy Allen,8102,LaVoy Allen,Power Forward,high
allento01,Tony Allen,2210,Tony Allen,Shooting Guard,high
alvarjo01,Jose Alvarado,74331,Jose Alvarado,Point Guard,high
aminual01,Al-Farouq Aminu,6890,Al-Farouq Aminu,Power Forward,high
anderal01,Alan Anderson,9261,Alan Anderson,Shooting Guard,high
anderch01,Chris Andersen,6102,Chris Andersen,Power Forward,high
anderja01,James Anderson,1197,James Anderson,,high
anderju01,Justin Anderson,17849,Justin Anderson,Shooting Guard,high
anderky01,Kyle Anderson,15382,Kyle Anderson,Power Forward,high
anderry01,Ryan Anderson,6133,Ryan Anderson,Power Forward,high
antetgi01,Giannis Antetokounmpo,13328,Giannis Antetokounmpo,Power Forward,high
antetth01,Thanasis Antetokounmpo,15403,Thanasis Antetokounmpo,Small Forward,high
anthoca01,Carmelo Anthony,2283,Carmelo Anthony,Power Forward,high
anthoco01,Cole Anthony,70657,Cole Anthony,Point Guard,high
anunoog01,OG Anunoby,23618,OG Anunoby,Small Forward,high
arcidry01,Ryan Arcidiacono,20275,Ryan Arcidiacono,Point Guard,high
arizatr01,Trevor Ariza,2513,Trevor Ariza,Small Forward,high
artesro01,Metta World Peace,2687,Metta World Peace,Small Forward,high
arthuda01,Darrell Arthur,6121,Darrell Arthur,Power Forward,high
asikom01,Ömer Aşık,7110,Omer Asik,Center,medium
augusdj01,D.J. Augustin,6088,D.J. Augustin,Point Guard,high
avdijde01,Deni Avdija,70651,Deni Avdija,Small Forward,high
aytonde01,Deandre Ayton,26967,Deandre Ayton,Center,high
azubuud01,Udoka Azubuike,70669,Udoka Azubuike,Center,high
babbilu01,Luke Babbitt,6898,Luke Babbitt,Small Forward,high
bacondw01,Dwayne Bacon,23640,Dwayne Bacon,Shooting Guard,high
baglema01,Marvin Bagley III,26968,Marvin Bagley III,Power Forward,high
baileac01,Ace Bailey,98599,Ace Bailey,Small Forward,high
bakerro01,Ron Baker,20278,Ron Baker,Shooting Guard,high
baldwpa01,Patrick Baldwin Jr.,78139,Patrick Baldwin Jr.,Small Forward,high
baldwwa01,Wade Baldwin,20222,Wade Baldwin,Point Guard,high
ballla01,LaMelo Ball,70645,LaMelo Ball,Point Guard,high
balllo01,Lonzo Ball,23597,Lonzo Ball,Point Guard,high
bambamo01,Mo Bamba,26972,Mohamed Bamba,Center,medium
banchpa01,Paolo Banchero,78110,Paolo Banchero,Power Forward,high
banede01,Desmond Bane,70672,Desmond Bane,Shooting Guard,high
bantoda01,Dalano Banton,74153,Dalano Banton,Point Guard,high
barbole01,Leandro Barbosa,2659,Leandro Barbosa,Shooting Guard,high
bareajo01,J.J. Barea,2269,Jose Barea,Point Guard,low
bargnan01,Andrea Bargnani,2730,Andrea Bargnani,Center,high
barlodo01,Dominick Barlow,78565,Dominick Barlow,Power Forward,high
barneha02,Harrison Barnes,10815,Harrison Barnes,Power Forward,high
barnema02,Matt Barnes,2313,Matt Barnes,Small Forward,high
barnesc01,Scottie Barnes,74111,Scottie Barnes,Power Forward,high
barrerj01,RJ Barrett,31560,R.J. Barrett,Shooting Guard,high
