season,player_id,player_name,pos,age,team,games,games_started,minutes_per_game,pts_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,fg_pct,fg3_pct,fg2_pct,ft_pct,efg_pct,per,ts_pct,usg_pct,bpm,obpm,dbpm,vorp,ws,ws_per_48,years_in_league
2005-06,bryanko01,Kobe Bryant,SG,27,LAL,80,80,40.962,35.4,5.312,4.5,1.837,0.375,3.125,0.4501,0.3475,0.4822,0.8498,0.4915,28.0,0.5589,38.7,7.6,7.4,0.2,8.0,15.3,0.224,10
2005-06,jamesle01,LeBron James,SF,21,CLE,79,79,42.544,31.367,7.038,6.595,1.557,0.835,3.291,0.48,0.3351,0.518,0.7383,0.5148,28.1,0.568,33.6,9.1,7.5,1.6,9.4,16.3,0.233,3
2005-06,iversal01,Allen Iverson,PG,30,PHI,72,72,43.097,33.014,3.222,7.389,1.944,0.139,3.444,0.4473,0.3229,0.4647,0.8142,0.4671,25.9,0.5435,35.8,4.8,5.8,-1.0,5.3,10.6,0.164,
2005-06,arenagi01,Gilbert Arenas,PG,24,WAS,80,80,42.3,29.325,3.5,6.05,2.013,0.312,3.712,0.4472,0.3685,0.4849,0.8198,0.5069,23.8,0.5808,30.5,5.4,5.4,0.0,6.3,13.6,0.193,
2005-06,nowitdi01,Dirk Nowitzki,PF,27,DAL,81,81,38.136,26.556,8.988,2.79,0.716,1.025,1.926,0.4802,0.4059,0.4957,0.9013,0.5153,28.1,0.5886,30.0,8.1,7.8,0.4,7.9,17.7,0.275,7
2005-06,anthoca01,Carmelo Anthony,SF,21,DEN,80,80,36.763,26.525,4.925,2.7,1.1,0.525,2.725,0.4809,0.2434,0.5063,0.8082,0.4927,22.0,0.5632,32.0,2.7,3.5,-0.9,3.5,9.4,0.153,3
2005-06,piercpa01,Paul Pierce,SF,28,BOS,79,79,39.038,26.785,6.709,4.747,1.354,0.43,3.456,0.4713,0.3535,0.5035,0.7722,0.5092,23.6,0.5815,31.2,4.8,5.0,-0.2,5.3,11.5,0.179,7
2005-06,wadedw01,Dwyane Wade,SG,24,MIA,75,75,38.56,27.2,5.733,6.707,1.947,0.773,3.573,0.4947,0.1711,0.5131,0.7833,0.4993,27.6,0.5775,32.5,7.7,5.9,1.8,7.1,14.4,0.239,3
2005-06,reddmi01,Michael Redd,SG,26,MIL,80,80,39.125,25.35,4.275,2.862,1.188,0.062,2.125,0.4499,0.3947,0.4705,0.8774,0.5036,21.2,0.5738,28.3,3.8,4.7,-0.9,4.6,10.8,0.166,
2005-06,allenra02,Ray Allen,SG,30,SEA,78,78,38.744,25.064,4.256,3.667,1.346,0.205,2.41,0.454,0.4119,0.4864,0.9025,0.5437,22.2,0.5896,27.4,4.4,6.4,-2.0,4.9,9.5,0.151,
