season,team,conference,conference_seed,wins,losses,win_loss_pct,mov,sos,srs,ortg,drtg,nrtg,pace,ts_pct,made_playoffs,playoff_round_reached,playoff_wins,playoff_losses,champion
2014-15,GSW,Western,1,67,15,0.817,10.1,-0.09,10.01,111.6,101.4,10.2,98.3,0.571,1,5,16,5,1
2014-15,LAC,Western,2,56,26,0.683,6.59,0.22,6.8,112.4,105.5,6.9,94.7,0.565,1,2,7,7,0
2014-15,SAS,Western,5,55,27,0.671,6.2,0.14,6.34,108.5,102.0,6.5,93.8,0.555,1,1,3,4,0
2014-15,ATL,Eastern,1,60,22,0.732,5.43,-0.68,4.75,108.9,103.1,5.8,93.9,0.563,1,3,8,8,0
2014-15,CLE,Eastern,2,53,29,0.646,4.48,-0.4,4.08,111.1,106.3,4.8,92.3,0.557,1,4,14,6,0
2014-15,POR,Western,6,51,31,0.622,4.23,0.18,4.41,108.2,103.7,4.5,94.2,0.544,1,1,1,4,0
2014-15,HOU,Western,3,56,26,0.683,3.44,0.38,3.82,107.0,103.4,3.6,96.5,0.548,1,3,9,8,0
2014-15,MEM,Western,4,55,27,0.671,3.24,0.38,3.62,105.7,102.2,3.5,92.0,0.531,1,2,6,5,0
2014-15,TOR,Eastern,4,49,33,0.598,3.07,-0.62,2.45,111.0,107.7,3.3,92.8,0.553,1,1,0,4,0
2014-15,CHI,Eastern,3,50,32,0.61,3.0,-0.46,2.54,107.5,104.3,3.2,92.8,0.536,1,2,6,6,0
2014-15,DAL,Western,7,50,32,0.61,2.9,0.46,3.36,109.5,106.4,3.1,95.2,0.55,1,1,1,4,0
2014-15,OKC,Western,8,45,37,0.549,2.18,0.28,2.47,107.8,105.5,2.3,95.7,0.532,0,0,0,0,0
2014-15,NOP,Western,9,45,37,0.549,0.79,0.34,1.13,108.2,107.3,0.9,91.4,0.537,1,1,0,4,0
2014-15,WAS,Eastern,5,46,36,0.561,0.72,-0.55,0.17,103.7,103.0,0.7,93.7,0.534,1,2,6,4,0
2014-15,MIL,Eastern,6,41,41,0.5,0.43,-0.52,-0.09,102.7,102.2,0.5,94.1,0.536,1,1,2,4,0
2014-15,IND,Eastern,9,38,44,0.463,0.28,-0.51,-0.23,103.5,103.2,0.3,93.2,0.523,0,0,0,0,0
2014-15,UTA,Western,11,38,44,0.463,0.22,0.49,0.71,105.1,104.9,0.2,90.4,0.531,0,0,0,0,0
2014-15,BOS,Eastern,7,40,42,0.488,0.16,-0.56,-0.4,104.7,104.5,0.2,95.8,0.523,1,1,0,4,0
2014-15,PHX,Western,10,39,43,0.476,-0.9,0.52,-0.38,105.3,106.2,-0.9,96.3,0.537,0,0,0,0,0
2014-15,DET,Eastern,12,32,50,0.39,-1.0,-0.39,-1.39,105.3,106.4,-1.1,92.8,0.515,0,0,0,0,0
2014-15,MIA,Eastern,10,37,45,0.451,-2.6,-0.32,-2.92,103.9,106.7,-2.8,90.9,0.54,0,0,0,0,0
2014-15,BKN,Eastern,8,38,44,0.463,-2.88,-0.25,-3.13,104.4,107.4,-3.0,92.7,0.529,1,1,2,4,0
2014-15,CHA,Eastern,11,33,49,0.402,-3.17,-0.27,-3.44,100.1,103.5,-3.4,93.0,0.498,0,0,0,0,0
2014-15,DEN,Western,12,30,52,0.366,-3.55,0.48,-3.07,104.5,108.2,-3.7,96.1,0.518,0,0,0,0,0
2014-15,SAC,Western,13,29,53,0.354,-3.71,0.64,-3.07,105.3,109.2,-3.9,95.4,0.542,0,0,0,0,0
2014-15,ORL,Eastern,13,25,57,0.305,-5.72,-0.15,-5.87,101.6,107.7,-6.1,93.8,0.524,0,0,0,0,0
2014-15,LAL,Western,14,21,61,0.256,-6.84,0.67,-6.17,103.4,110.6,-7.2,94.0,0.513,0,0,0,0,0
2014-15,MIN,Western,15,16,66,0.195,-8.79,0.79,-8.0,102.9,112.2,-9.3,94.4,0.517,0,0,0,0,0
2014-15,PHI,Eastern,14,18,64,0.22,-8.98,-0.07,-9.04,95.5,104.8,-9.3,95.7,0.494,0,0,0,0,0
2014-15,NYK,Eastern,15,17,65,0.207,-9.32,-0.18,-9.5,99.9,110.0,-10.1,91.2,0.508,0,0,0,0,0
2015-16,SAS,Western,2,67,15,0.817,10.63,-0.36,10.28,110.3,99.0,11.3,93.8,0.564,1,2,6,4,0
2015-16,GSW,Western,1,73,9,0.89,10.76,-0.38,10.38,114.5,103.8,10.7,99.3,0.593,1,4,15,9,0
2015-16,OKC,Western,3,55,27,0.671,7.28,-0.19,7.09,113.1,105.6,7.5,96.7,0.565,1,3,11,7,0
2015-16,CLE,Eastern,1,57,25,0.695,6.0,-0.55,5.45,110.9,104.5,6.4,93.3,0.558,1,5,16,5,1
2015-16,TOR,Eastern,2,56,26,0.683,4.5,-0.42,4.08,110.0,105.2,4.8,92.9,0.552,1,3,10,10,0
2015-16,LAC,Western,4,53,29,0.646,4.28,-0.15,4.13,108.3,103.8,4.5,95.8,0.556,1,1,2,4,0
2015-16,ATL,Eastern,4,48,34,0.585,3.61,-0.12,3.49,105.1,101.4,3.7,97.1,0.552,1,2,4,6,0
2015-16,BOS,Eastern,5,48,34,0.585,3.21,-0.37,2.84,106.8,103.6,3.2,98.5,0.531,1,1,2,4,0
2015-16,CHA,Eastern,6,48,34,0.585,2.72,-0.36,2.36,107.2,104.3,2.9,95.6,0.545,1,1,3,4,0
2015-16,UTA,Western,9,40,42,0.488,1.79,0.05,1.84,105.9,103.9,2.0,91.0,0.54,0,0,0,0,0
2015-16,MIA,Eastern,3,48,34,0.585,1.65,-0.14,1.5,106.1,104.4,1.7,93.6,0.545,1,2,7,7,0
2015-16,IND,Eastern,7,45,37,0.549,1.71,-0.09,1.62,104.6,102.9,1.7,96.6,0.536,1,1,3,4,0
2015-16,POR,Western,5,44,38,0.537,0.83,0.15,0.98,108.8,108.0,0.8,96.0,0.548,1,2,5,6,0
2015-16,DET,Eastern,8,44,38,0.537,0.61,-0.18,0.43,106.1,105.5,0.6,95.1,0.522,1,1,0,4,0
2015-16,HOU,Western,8,41,41,0.5,0.2,0.14,0.34,108.3,108.1,0.2,97.6,0.553,1,1,1,4,0
2015-16,DAL,Western,6,42,40,0.512,-0.3,0.29,-0.02,106.7,107.0,-0.3,94.3,0.544,1,1,1,4,0
2015-16,WAS,Eastern,10,41,41,0.5,-0.5,0.0,-0.5,105.3,105.8,-0.5,98.5,0.544,0,0,0,0,0
2015-16,CHI,Eastern,9,42,40,0.512,-1.48,0.01,-1.46,105.0,106.5,-1.5,95.7,0.526,0,0,0,0,0
2015-16,ORL,Eastern,11,35,47,0.427,-1.62,-0.06,-1.68,105.1,106.8,-1.7,96.0,0.533,0,0,0,0,0
2015-16,SAC,Western,10,33,49,0.402,-2.48,0.16,-2.32,106.0,108.4,-2.4,100.0,0.546,0,0,0,0,0
2015-16,MEM,Western,7,42,40,0.512,-2.24,0.11,-2.14,105.4,107.8,-2.4,93.3,0.524,1,1,0,4,0
2015-16,NYK,Eastern,13,32,50,0.39,-2.73,0.0,-2.74,104.6,107.6,-3.0,93.4,0.527,0,0,0,0,0
2015-16,DEN,Western,11,33,49,0.402,-3.1,0.29,-2.81,105.6,108.9,-3.3,95.7,0.531,0,0,0,0,0
2015-16,MIN,Western,13,29,53,0.354,-3.54,0.15,-3.38,106.5,110.1,-3.6,95.2,0.549,0,0,0,0,0
2015-16,NOP,Western,12,30,52,0.366,-3.79,0.24,-3.56,105.6,109.5,-3.9,96.8,0.537,0,0,0,0,0
2015-16,MIL,Eastern,12,33,49,0.402,-4.18,0.2,-3.98,104.3,108.7,-4.4,94.2,0.537,0,0,0,0,0
2015-16,PHX,Western,14,23,59,0.28,-6.66,0.34,-6.32,102.2,109.0,-6.8,98.5,0.526,0,0,0,0,0
2015-16,BKN,Eastern,14,21,61,0.256,-7.35,0.24,-7.12,103.2,110.9,-7.7,95.2,0.527,0,0,0,0,0
2015-16,LAL,Western,15,17,65,0.207,-9.56,0.64,-8.92,101.6,111.6,-10.0,95.6,0.509,0,0,0,0,0
2015-16,PHI,Eastern,15,10,72,0.122,-10.23,0.31,-9.92,98.8,109.2,-10.4,97.9,0.519,0,0,0,0,0
2016-17,GSW,Western,1,67,15,0.817,11.63,-0.28,11.35,115.6,104.0,11.6,99.8,0.597,1,5,16,1,1
2016-17,SAS,Western,2,61,21,0.744,7.2,-0.06,7.13,111.1,103.5,7.6,94.2,0.564,1,3,8,8,0
2016-17,HOU,Western,3,55,27,0.671,5.77,0.08,5.84,114.7,109.0,5.7,100.0,0.583,1,2,6,5,0
2016-17,TOR,Eastern,3,51,31,0.622,4.21,-0.56,3.65,112.3,107.8,4.5,94.7,0.561,1,2,4,6,0
2016-17,LAC,Western,4,51,31,0.622,4.29,0.13,4.42,112.7,108.2,4.5,96.1,0.574,1,1,3,4,0
2016-17,UTA,Western,5,51,31,0.622,3.94,0.06,4.0,109.6,105.3,4.3,91.6,0.563,1,2,4,7,0
2016-17,CLE,Eastern,2,51,31,0.622,3.18,-0.31,2.87,113.6,110.3,3.3,96.2,0.58,1,4,13,5,0
2016-17,BOS,Eastern,1,53,29,0.646,2.63,-0.39,2.25,111.2,108.4,2.8,96.8,0.567,1,3,9,9,0
2016-17,WAS,Eastern,4,49,33,0.598,1.8,-0.45,1.36,111.2,109.3,1.9,97.4,0.564,1,2,7,6,0
2016-17,MIA,Eastern,9,41,41,0.5,1.06,-0.29,0.77,107.8,106.7,1.1,95.2,0.541,0,0,0,0,0
2016-17,OKC,Western,6,47,35,0.573,0.76,0.39,1.14,108.3,107.5,0.8,97.8,0.54,1,1,1,4,0
2016-17,MEM,Western,7,43,39,0.524,0.49,0.47,0.96,107.7,107.1,0.6,92.3,0.535,1,1,2,4,0
2016-17,DEN,Western,9,40,42,0.488,0.51,0.19,0.7,113.2,112.7,0.5,98.3,0.568,0,0,0,0,0
2016-17,CHI,Eastern,8,41,41,0.5,0.43,-0.39,0.03,107.4,107.0,0.4,95.3,0.53,1,1,2,4,0
2016-17,CHA,Eastern,11,36,46,0.439,0.2,-0.26,-0.07,108.8,108.6,0.2,95.7,0.547,0,0,0,0,0
2016-17,IND,Eastern,7,42,40,0.512,-0.22,-0.42,-0.64,108.6,108.8,-0.2,95.9,0.558,1,1,0,4,0
2016-17,MIL,Eastern,6,42,40,0.512,-0.18,-0.26,-0.45,109.1,109.3,-0.2,94.5,0.565,1,1,2,4,0
2016-17,POR,Western,8,41,41,0.5,-0.52,0.3,-0.23,110.3,110.8,-0.5,96.7,0.559,1,1,0,4,0
2016-17,ATL,Eastern,5,43,39,0.524,-0.85,-0.38,-1.23,104.9,105.7,-0.8,97.4,0.541,1,1,2,4,0
2016-17,DET,Eastern,10,37,45,0.451,-1.12,-0.17,-1.29,106.0,107.1,-1.1,95.0,0.521,0,0,0,0,0
2016-17,MIN,Western,13,31,51,0.378,-1.11,0.47,-0.64,110.8,112.0,-1.2,94.6,0.555,0,0,0,0,0
2016-17,NOP,Western,10,34,48,0.415,-2.1,0.41,-1.69,105.2,107.4,-2.2,98.0,0.539,0,0,0,0,0
2016-17,DAL,Western,11,33,49,0.402,-2.93,0.4,-2.53,105.6,108.8,-3.2,92.2,0.541,0,0,0,0,0
2016-17,NYK,Eastern,12,31,51,0.378,-3.67,-0.2,-3.87,107.7,111.5,-3.8,96.0,0.534,0,0,0,0,0
2016-17,SAC,Western,12,32,50,0.39,-3.88,0.58,-3.29,107.3,111.3,-4.0,94.9,0.556,0,0,0,0,0
2016-17,PHX,Western,15,24,58,0.293,-5.63,0.49,-5.14,106.6,112.2,-5.6,100.3,0.538,0,0,0,0,0
2016-17,PHI,Eastern,14,28,54,0.341,-5.7,-0.14,-5.83,103.2,108.9,-5.7,98.5,0.539,0,0,0,0,0
2016-17,BKN,Eastern,15,20,62,0.244,-6.73,-0.01,-6.74,104.1,110.7,-6.6,101.3,0.551,0,0,0,0,0
2016-17,ORL,Eastern,13,29,53,0.354,-6.57,-0.04,-6.61,103.7,110.5,-6.8,96.8,0.524,0,0,0,0,0
2016-17,LAL,Western,14,26,56,0.317,-6.88,0.58,-6.29,106.0,113.0,-7.0,98.5,0.537,0,0,0,0,0
2017-18,HOU,Western,1,65,17,0.793,8.48,-0.27,8.21,114.7,106.1,8.6,97.6,0.59,1,3,11,6,0
2017-18,TOR,Eastern,1,59,23,0.72,7.78,-0.49,7.29,113.8,105.9,7.9,97.4,0.575,1,2,4,6,0
2017-18,GSW,Western,2,58,24,0.707,5.98,-0.19,5.79,113.6,107.7,5.9,99.6,0.603,1,5,16,5,1
2017-18,UTA,Western,5,48,34,0.585,4.3,0.17,4.47,108.4,103.9,4.5,95.7,0.564,1,2,5,6,0
2017-18,PHI,Eastern,3,52,30,0.634,4.5,-0.2,4.3,109.5,105.0,4.5,99.8,0.568,1,2,5,5,0
2017-18,BOS,Eastern,2,55,27,0.671,3.59,-0.35,3.23,107.6,103.9,3.7,96.0,0.552,1,3,11,8,0
2017-18,OKC,Western,4,48,34,0.585,3.41,0.0,3.42,110.7,107.2,3.5,96.7,0.546,1,1,2,4,0
2017-18,SAS,Western,7,47,35,0.573,2.89,0.0,2.89,107.9,104.8,3.1,95.0,0.543,1,1,1,4,0
2017-18,POR,Western,3,49,33,0.598,2.6,0.0,2.6,109.1,106.4,2.7,96.5,0.549,1,1,0,4,0
2017-18,MIN,Western,8,47,35,0.573,2.23,0.12,2.35,113.4,111.1,2.3,96.0,0.566,1,1,1,4,0
2017-18,DEN,Western,9,46,36,0.561,1.48,0.09,1.57,112.5,111.0,1.5,96.8,0.57,0,0,0,0,0
2017-18,IND,Eastern,5,48,34,0.585,1.38,-0.2,1.18,109.5,108.1,1.4,96.0,0.557,1,1,3,4,0
2017-18,NOP,Western,6,48,34,0.585,1.3,0.18,1.48,109.6,108.3,1.3,100.5,0.573,1,2,5,4,0
2017-18,CLE,Eastern,4,50,32,0.61,0.94,-0.35,0.59,112.9,111.9,1.0,98.0,0.584,1,4,12,10,0
2017-18,WAS,Eastern,8,43,39,0.524,0.59,-0.06,0.53,109.3,108.7,0.6,96.6,0.56,1,1,2,4,0
2017-18,MIA,Eastern,6,44,38,0.537,0.48,-0.33,0.15,106.8,106.3,0.5,95.6,0.551,1,1,1,4,0
2017-18,CHA,Eastern,10,36,46,0.439,0.26,-0.19,0.07,109.4,109.1,0.3,98.4,0.549,0,0,0,0,0
2017-18,LAC,Western,10,42,40,0.512,0.04,0.11,0.15,110.3,110.2,0.1,98.7,0.564,0,0,0,0,0
2017-18,DET,Eastern,9,39,43,0.476,-0.15,-0.11,-0.26,107.2,107.3,-0.1,96.2,0.543,0,0,0,0,0
2017-18,MIL,Eastern,7,44,38,0.537,-0.3,-0.15,-0.45,109.8,110.1,-0.3,96.3,0.571,1,1,3,4,0
2017-18,LAL,Western,11,35,47,0.427,-1.55,0.11,-1.44,106.5,108.0,-1.5,100.3,0.548,0,0,0,0,0
2017-18,DAL,Western,13,24,58,0.293,-3.04,0.34,-2.7,106.3,109.5,-3.2,95.6,0.544,0,0,0,0,0
2017-18,NYK,Eastern,11,29,53,0.354,-3.56,0.03,-3.53,107.1,110.7,-3.6,96.8,0.544,0,0,0,0,0
2017-18,BKN,Eastern,12,28,54,0.341,-3.74,0.07,-3.67,106.9,110.6,-3.7,98.9,0.551,0,0,0,0,0
2017-18,ORL,Eastern,14,25,57,0.305,-4.82,-0.1,-4.92,105.2,110.1,-4.9,98.1,0.545,0,0,0,0,0
